minimum,maximum,type,price,service
0,500,E1,11.85,economic
0,500,E2,12.35,economic
0,500,E3,12.48,economic
0,500,E4,12.6,economic
0,500,N1,14.1,economic
0,500,N2,15.79,economic
0,500,N3,17.63,economic
0,500,N4,21.15,economic
0,500,N5,25.38,economic
0,500,N6,31.02,economic
0,500,I1,15.1,economic
0,500,I2,16.79,economic
0,500,I3,25.63,economic
0,500,I4,34.15,economic
0,500,I5,42.38,economic
0,500,I6,54.02,economic
501,1000,E1,12.69,economic
501,1000,E2,13.23,economic
501,1000,E3,13.37,economic
501,1000,E4,13.5,economic
501,1000,N1,15.11,economic
501,1000,N2,16.92,economic
501,1000,N3,18.89,economic
501,1000,N4,22.67,economic
501,1000,N5,27.2,economic
501,1000,N6,33.24,economic
501,1000,I1,16.11,economic
501,1000,I2,17.92,economic
501,1000,I3,26.89,economic
501,1000,I4,35.67,economic
501,1000,I5,44.2,economic
501,1000,I6,56.24,economic
1001,2000,E1,13.37,economic
1001,2000,E2,13.94,economic
1001,2000,E3,14.08,economic
1001,2000,E4,14.22,economic
1001,2000,N1,16.6,economic
1001,2000,N2,18.59,economic
1001,2000,N3,20.75,economic
1001,2000,N4,24.9,economic
1001,2000,N5,29.88,economic
1001,2000,N6,36.52,economic
1001,2000,I1,17.6,economic
1001,2000,I2,19.59,economic
1001,2000,I3,28.75,economic
1001,2000,I4,37.9,economic
1001,2000,I5,46.88,economic
1001,2000,I6,59.52,economic
2001,3000,E1,15.98,economic
2001,3000,E2,16.66,economic
2001,3000,E3,16.83,economic
2001,3000,E4,17,economic
2001,3000,N1,19.84,economic
2001,3000,N2,22.22,economic
2001,3000,N3,24.8,economic
2001,3000,N4,29.76,economic
2001,3000,N5,35.71,economic
2001,3000,N6,43.65,economic
2001,3000,I1,20.84,economic
2001,3000,I2,23.22,economic
2001,3000,I3,32.8,economic
2001,3000,I4,42.76,economic
2001,3000,I5,52.71,economic
2001,3000,I6,66.65,economic
3001,4000,E1,17.06,economic
3001,4000,E2,17.79,economic
3001,4000,E3,17.97,economic
3001,4000,E4,18.15,economic
3001,4000,N1,21.19,economic
3001,4000,N2,23.73,economic
3001,4000,N3,26.49,economic
3001,4000,N4,31.79,economic
3001,4000,N5,38.14,economic
3001,4000,N6,46.62,economic
3001,4000,I1,25.19,economic
3001,4000,I2,27.73,economic
3001,4000,I3,37.49,economic
3001,4000,I4,47.79,economic
3001,4000,I5,58.14,economic
3001,4000,I6,72.62,economic
4001,5000,E1,18.24,economic
4001,5000,E2,19.01,economic
4001,5000,E3,19.21,economic
4001,5000,E4,19.4,economic
4001,5000,N1,22.67,economic
4001,5000,N2,25.39,economic
4001,5000,N3,28.34,economic
4001,5000,N4,34.01,economic
4001,5000,N5,40.81,economic
4001,5000,N6,49.87,economic
4001,5000,I1,26.67,economic
4001,5000,I2,29.39,economic
4001,5000,I3,39.34,economic
4001,5000,I4,50.01,economic
4001,5000,I5,60.81,economic
4001,5000,I6,75.87,economic
5001,6000,E1,19.23,economic
5001,6000,E2,20.05,economic
5001,6000,E3,20.26,economic
5001,6000,E4,20.46,economic
5001,6000,N1,25.1,economic
5001,6000,N2,28.87,economic
5001,6000,N3,32.94,economic
5001,6000,N4,40.79,economic
5001,6000,N5,50.2,economic
5001,6000,N6,62.75,economic
5001,6000,I1,31.1,economic
5001,6000,I2,34.87,economic
5001,6000,I3,45.94,economic
5001,6000,I4,58.79,economic
5001,6000,I5,72.2,economic
5001,6000,I6,90.75,economic
6001,7000,E1,20.32,economic
6001,7000,E2,21.19,economic
6001,7000,E3,21.4,economic
6001,7000,E4,21.62,economic
6001,7000,N1,27.71,economic
6001,7000,N2,31.87,economic
6001,7000,N3,36.37,economic
6001,7000,N4,45.03,economic
6001,7000,N5,55.42,economic
6001,7000,N6,69.28,economic
6001,7000,I1,33.71,economic
6001,7000,I2,37.87,economic
6001,7000,I3,49.37,economic
6001,7000,I4,63.03,economic
6001,7000,I5,77.42,economic
6001,7000,I6,97.28,economic
7001,8000,E1,21.36,economic
