minimum,maximum,type,price,service
0,300,L1,6.38,express
0,300,L2,6.51,express
0,300,L3,6.65,express
0,300,L4,6.78,express
0,300,E1,12.83,express
0,300,E2,13.11,express
0,300,E3,13.4,express
0,300,E4,14.25,express
0,300,N1,19.48,express
0,300,N2,27.27,express
0,300,N3,35.06,express
0,300,N4,40.9,express
0,300,N5,48.69,express
0,300,N6,58.43,express
0,300,I1,28.5,express
0,300,I2,36.7,express
0,300,I3,44.49,express
0,300,I4,50.74,express
0,300,I5,59.35,express
0,300,I6,69.91,express
301,500,L1,7.15,express
301,500,L2,7.3,express
301,500,L3,7.45,express
301,500,L4,7.6,express
301,500,E1,13.29,express
301,500,E2,13.59,express
301,500,E3,13.88,express
301,500,E4,14.77,express
301,500,N1,20.3,express
301,500,N2,28.4,express
301,500,N3,36.52,express
301,500,N4,42.61,express
301,500,N5,50.73,express
301,500,N6,60.88,express
301,500,I1,29.32,express
301,500,I2,37.83,express
301,500,I3,45.95,express
301,500,I4,52.45,express
301,500,I5,61.39,express
301,500,I6,72.36,express
501,1000,L1,7.66,express
501,1000,L2,7.82,express
501,1000,L3,7.99,express
501,1000,L4,8.15,express
501,1000,E1,14.82,express
501,1000,E2,14.97,express
501,1000,E3,15.12,express
501,1000,E4,15.28,express
501,1000,N1,21.11,express
501,1000,N2,29.55,express
501,1000,N3,37.99,express
501,1000,N4,44.32,express
501,1000,N5,52.77,express
501,1000,N6,63.32,express
501,1000,I1,30.13,express
501,1000,I2,38.98,express
501,1000,I3,47.42,express
501,1000,I4,54.16,express
501,1000,I5,63.43,express
501,1000,I6,74.8,express
1001,2000,L1,9.62,express
1001,2000,L2,9.82,express
1001,2000,L3,10.03,express
1001,2000,L4,10.23,express
1001,2000,E1,16.35,express
1001,2000,E2,16.51,express
1001,2000,E3,16.69,express
1001,2000,E4,16.85,express
1001,2000,N1,25.45,express
1001,2000,N2,35.64,express
1001,2000,N3,45.81,express
1001,2000,N4,53.45,express
1001,2000,N5,63.63,express
1001,2000,N6,76.36,express
1001,2000,I1,37.75,express
1001,2000,I2,48.35,express
1001,2000,I3,58.52,express
1001,2000,I4,66.57,express
1001,2000,I5,77.57,express
1001,2000,I6,91.12,express
2001,3000,L1,10.73,express
2001,3000,L2,10.96,express
2001,3000,L3,11.18,express
2001,3000,L4,11.41,express
2001,3000,E1,17.87,express
2001,3000,E2,18.05,express
2001,3000,E3,18.24,express
2001,3000,E4,18.42,express
2001,3000,N1,29.71,express
2001,3000,N2,40.11,express
2001,3000,N3,56.45,express
2001,3000,N4,68.33,express
2001,3000,N5,86.16,express
2001,3000,N6,106.95,express
2001,3000,I1,44.47,express
2001,3000,I2,55.28,express
2001,3000,I3,71.62,express
2001,3000,I4,83.91,express
2001,3000,I5,102.56,express
2001,3000,I6,124.17,express
3001,4000,L1,11.59,express
3001,4000,L2,11.83,express
3001,4000,L3,12.08,express
3001,4000,L4,12.32,express
3001,4000,E1,19.66,express
3001,4000,E2,19.87,express
3001,4000,E3,20.07,express
3001,4000,E4,20.27,express
3001,4000,N1,34.06,express
3001,4000,N2,45.99,express
3001,4000,N3,64.72,express
3001,4000,N4,78.34,express
3001,4000,N5,98.79,express
3001,4000,N6,122.62,express
3001,4000,I1,48.82,express
3001,4000,I2,61.16,express
3001,4000,I3,79.89,express
3001,4000,I4,93.92,express
3001,4000,I5,115.19,express
3001,4000,I6,139.84,express
4001,5000,L1,12.53,express
4001,5000,L2,12.79,express
4001,5000,L3,13.06,express
4001,5000,L4,13.33,express
4001,5000,E1,21.19,express
4001,5000,E2,21.41,express
4001,5000,E3,21.63,express
4001,5000,E4,21.84,express
4001,5000,N1,37.59,express
4001,5000,N2,50.74,express
4001,5000,N3,71.42,express
4001,5000,N4,86.45,express
4001,5000,N5,109.01,express
4001,5000,N6,135.32,express
4001,5000,I1,60.55,express
4001,5000,I2,74.11,express
4001,5000,I3,94.79,express
4001,5000,I4,110.23,express
4001,5000,I5,133.61,express
4001,5000,I6,160.74,express
5001,6000,L1,13.31,express
5001,6000,L2,13.59,express
5001,6000,L3,13.87,express
5001,6000,L4,14.15,express
5001,6000,E1,22.9,express
5001,6000,E2,23.13,express
5001,6000,E3,23.37,express
5001,6000,E4,23.61,express
5001,6000,N1,41.21,express
5001,6000,N2,55.64,express
5001,6000,N3,78.3,express
5001,6000,N4,94.79,express
5001,6000,N5,119.52,express
5001,6000,N6,148.37,express
5001,6000,I1,64.17,express
5001,6000,I2,79.01,express
5001,6000,I3,101.67,express
5001,6000,I4,118.57,express
5001,6000,I5,144.12,express
5001,6000,I6,173.79,express
6001,7000,L1,14.15,express
6001,7000,L2,14.46,express
6001,7000,L3,14.76,express
6001,7000,L4,15.06,express
6001,7000,E1,24.52,express
6001,7000,E2,24.77,express
6001,7000,E3,25.03,express
6001,7000,E4,25.27,express
6001,7000,N1,45.48,express
6001,7000,N2,61.39,express
6001,7000,N3,86.4,express
6001,7000,N4,104.6,express
6001,7000,N5,131.88,express
6001,7000,N6,163.72,express
6001,7000,I1,68.44,express
6001,7000,I2,84.76,express
6001,7000,I3,109.77,express
6001,7000,I4,128.38,express
6001,7000,I5,156.48,express
6001,7000,I6,189.14,express
7001,8000,L1,14.96,express
7001,8000,L2,15.28,express
7001,8000,L3,15.6,express
7001,8000,L4,15.92,express
7001,8000,E1,26.22,express
7001,8000,E2,26.49,express
7001,8000,E3,26.76,express
7001,8000,E4,27.04,express
7001,8000,N1,49.82,express
7001,8000,N2,67.26,express
7001,8000,N3,94.66,express
7001,8000,N4,114.6,express
7001,8000,N5,144.48,express
7001,8000,N6,179.37,express
7001,8000,I1,74.42,express
7001,8000,I2,92.27,express
7001,8000,I3,119.67,express
7001,8000,I4,140.02,express
7001,8000,I5,170.72,express
7001,8000,I6,206.43,express
8001,9000,L1,15.44,express
8001,9000,L2,15.77,express
8001,9000,L3,16.1,express
8001,9000,L4,16.42,express
8001,9000,E1,27.93,express
8001,9000,E2,28.22,express
8001,9000,E3,28.5,express
8001,9000,E4,28.8,express
8001,9000,N1,54.17,express
8001,9000,N2,73.13,express
8001,9000,N3,102.92,express
8001,9000,N4,124.59,express
8001,9000,N5,157.09,express
8001,9000,N6,195.01,express
8001,9000,I1,78.77,express
8001,9000,I2,98.14,express
8001,9000,I3,127.93,express
8001,9000,I4,150.01,express
8001,9000,I5,183.33,express
8001,9000,I6,222.07,express
9001,10000,L1,15.79,express
9001,10000,L2,16.12,express
9001,10000,L3,16.46,express
9001,10000,L4,16.79,express
9001,10000,E1,29.82,express
9001,10000,E2,30.13,express
9001,10000,E3,30.43,express
9001,10000,E4,30.74,express
9001,10000,N1,58.52,express
9001,10000,N2,79,express
9001,10000,N3,111.18,express
9001,10000,N4,134.59,express
9001,10000,N5,169.69,express
9001,10000,N6,210.66,express
9001,10000,I1,83.12,express
9001,10000,I2,104.01,express
9001,10000,I3,136.19,express
9001,10000,I4,160.01,express
9001,10000,I5,195.93,express
9001,10000,I6,237.72,express
999999,999999,L1,1.58,express
999999,999999,L2,1.62,express
999999,999999,L3,1.65,express
999999,999999,L4,1.68,express
999999,999999,E1,2.98,express
999999,999999,E2,3.01,express
999999,999999,E3,3.04,express
999999,999999,E4,3.08,express
999999,999999,N1,5.85,express
999999,999999,N2,7.9,express
999999,999999,N3,11.12,express
999999,999999,N4,13.46,express
999999,999999,N5,16.97,express
999999,999999,N6,21.07,express
999999,999999,I1,8.31,express
999999,999999,I2,10.4,express
999999,999999,I3,13.62,express
999999,999999,I4,16,express
999999,999999,I5,19.59,express
999999,999999,I6,23.77,express
